"","Order.number.of.item","Label","PennElementType","PennElementName","Parameter","Value","EventTime","trial_id","group","Comments","random_id"
"33",10,"practice-gumball","Scale","slider-1","Choice","100","1746120966615","g_p9","a","334","24"
"34",10,"practice-gumball","Scale","slider-2","Choice","100","1746120968114","g_p9","a","390","24"
"35",10,"practice-gumball","PennController","23","_Trial_","End","1746120969110","g_p9","a","NULL","24"
"36",11,"practice-gumball","PennController","24","_Trial_","Start","1746120969111","g_p9","a","NULL","24"
"37",11,"practice-gumball","Selector","selection","Selection","correct","1746120971711","g_p9","a","correct;incorrect","24"
"38",11,"practice-gumball","PennController","24","_Trial_","End","1746120973407","g_p9","a","NULL","24"
"39",12,"practice-gumball-end","PennController","8","_Trial_","Start","1746120973408","NULL","","","24"
"40",12,"practice-gumball-end","PennController","8","_Trial_","End","1746120974547","NULL","","","24"
"41",13,"trials-gumball","PennController","25","_Trial_","Start","1746120974548","g_p8","a","NULL","24"
"42",13,"trials-gumball","Scale","slider-3","Default","0","1746120974549","g_p8","a","slider","24"
"43",13,"trials-gumball","Scale","slider-1","Choice","100","1746120995195","g_p8","a","1506","24"
"44",13,"trials-gumball","Scale","slider-2","Choice","100","1746120996443","g_p8","a","256","24"
"45",13,"trials-gumball","PennController","25","_Trial_","End","1746120997620","g_p8","a","NULL","24"
"46",14,"trials-gumball","PennController","26","_Trial_","Start","1746120997621","g_p2","a","NULL","24"
"47",14,"trials-gumball","Scale","slider-3","Default","0","1746120997622","g_p2","a","slider","24"
"48",14,"trials-gumball","Scale","slider-1","Default","0","1746120997622","g_p2","a","slider","24"
"49",14,"trials-gumball","Scale","slider-2","Choice","100","1746121001793","g_p2","a","191","24"
"50",14,"trials-gumball","PennController","26","_Trial_","End","1746121003080","g_p2","a","NULL","24"
"51",15,"trials-gumball","PennController","27","_Trial_","Start","1746121003082","g_p6","a","NULL","24"
"52",15,"trials-gumball","Scale","slider-3","Default","0","1746121003083","g_p6","a","slider","24"
"53",15,"trials-gumball","Scale","slider-2","Choice","100","1746121005676","g_p6","a","541","24"
"54",15,"trials-gumball","Scale","slider-1","Choice","100","1746121007844","g_p6","a","240","24"
"55",15,"trials-gumball","PennController","27","_Trial_","End","1746121009007","g_p6","a","NULL","24"
"56",16,"trials-gumball","PennController","28","_Trial_","Start","1746121009008","g_p5","a","NULL","24"
"57",16,"trials-gumball","Scale","slider-3","Default","0","1746121009009","g_p5","a","slider","24"
"58",16,"trials-gumball","Scale","slider-1","Default","0","1746121009009","g_p5","a","slider","24"
"59",16,"trials-gumball","Scale","slider-2","Choice","100","1746121012125","g_p5","a","223","24"
"60",16,"trials-gumball","PennController","28","_Trial_","End","1746121012947","g_p5","a","NULL","24"
"61",17,"trials-gumball","PennController","29","_Trial_","Start","1746121012948","g_p7","a","NULL","24"
"62",17,"trials-gumball","Scale","slider-3","Default","0","1746121012949","g_p7","a","slider","24"
"63",17,"trials-gumball","Scale","slider-1","Choice","100","1746121014920","g_p7","a","167","24"
"64",17,"trials-gumball","Scale","slider-2","Choice","100","1746121016025","g_p7","a","185","24"
"65",17,"trials-gumball","PennController","29","_Trial_","End","1746121017548","g_p7","a","NULL","24"
"66",18,"trials-gumball","PennController","30","_Trial_","Start","1746121017549","g_p4","a","NULL","24"
"67",18,"trials-gumball","Scale","slider-3","Default","0","1746121017550","g_p4","a","slider","24"
"68",18,"trials-gumball","Scale","slider-1","Default","0","1746121017550","g_p4","a","slider","24"
"69",18,"trials-gumball","Scale","slider-2","Choice","100","1746121019554","g_p4","a","234","24"
"70",18,"trials-gumball","PennController","30","_Trial_","End","1746121020636","g_p4","a","NULL","24"
"71",19,"trials-gumball","PennController","31","_Trial_","Start","1746121020637","g_p1","a","NULL","24"
"72",19,"trials-gumball","Scale","slider-3","Default","0","1746121020638","g_p1","a","slider","24"
"73",19,"trials-gumball","Scale","slider-1","Default","0","1746121020638","g_p1","a","slider","24"
"74",19,"trials-gumball","Scale","slider-2","Choice","100","1746121022592","g_p1","a","235","24"
"75",19,"trials-gumball","PennController","31","_Trial_","End","1746121023396","g_p1","a","NULL","24"
"76",20,"trials-gumball","PennController","32","_Trial_","Start","1746121023397","g_p1","a","NULL","24"
"77",20,"trials-gumball","Selector","selection","Selection","correct","1746121025199","g_p1","a","incorrect;correct","24"
"78",20,"trials-gumball","PennController","32","_Trial_","End","1746121026024","g_p1","a","NULL","24"
"79",21,"trials-gumball","PennController","33","_Trial_","Start","1746121026025","g_p3","a","NULL","24"
"80",21,"trials-gumball","Scale","slider-1","Default","0","1746121026026","g_p3","a","slider","24"
"81",21,"trials-gumball","Scale","slider-3","Default","0","1746121026027","g_p3","a","slider","24"
"82",21,"trials-gumball","Scale","slider-2","Choice","100","1746121032310","g_p3","a","356","24"
"83",21,"trials-gumball","PennController","33","_Trial_","End","1746121034188","g_p3","a","NULL","24"
"84",22,"trials-gumball","PennController","34","_Trial_","Start","1746121034189","g_p3","a","NULL","24"
"85",22,"trials-gumball","Selector","selection","Selection","correct","1746121037907","g_p3","a","incorrect;correct","24"
"86",22,"trials-gumball","PennController","34","_Trial_","End","1746121038749","g_p3","a","NULL","24"
"87",23,"trials-gumball","PennController","35","_Trial_","Start","1746121038750","g_p9","a","NULL","24"
"88",23,"trials-gumball","Scale","slider-3","Default","0","1746121038751","g_p9","a","slider","24"
"89",23,"trials-gumball","Scale","slider-1","Choice","100","1746121044874","g_p9","a","391","24"
"90",23,"trials-gumball","Scale","slider-2","Choice","100","1746121046164","g_p9","a","353","24"
"91",23,"trials-gumball","PennController","35","_Trial_","End","1746121048004","g_p9","a","NULL","24"
"92",24,"trials-gumball","PennController","36","_Trial_","Start","1746121048005","g_p1","a","NULL","24"
"93",24,"trials-gumball","Scale","slider-3","Default","0","1746121048007","g_p1","a","slider","24"
"94",24,"trials-gumball","Scale","slider-1","Default","0","1746121048007","g_p1","a","slider","24"
"95",24,"trials-gumball","Scale","slider-2","Choice","100","1746121049750","g_p1","a","208","24"
"96",24,"trials-gumball","PennController","36","_Trial_","End","1746121052975","g_p1","a","NULL","24"
"97",25,"trials-gumball","PennController","37","_Trial_","Start","1746121052976","g_p7","a","NULL","24"
"98",25,"trials-gumball","Scale","slider-3","Default","0","1746121052977","g_p7","a","slider","24"
"99",25,"trials-gumball","Scale","slider-2","Choice","100","1746121054731","g_p7","a","166","24"
"100",25,"trials-gumball","Scale","slider-1","Choice","100","1746121055821","g_p7","a","202","24"
"101",25,"trials-gumball","PennController","37","_Trial_","End","1746121056679","g_p7","a","NULL","24"
"102",26,"trials-gumball","PennController","38","_Trial_","Start","1746121056680","g_p7","a","NULL","24"
"103",26,"trials-gumball","Selector","selection","Selection","correct","1746121058915","g_p7","a","incorrect;correct","24"
"104",26,"trials-gumball","PennController","38","_Trial_","End","1746121059475","g_p7","a","NULL","24"
"105",27,"trials-gumball","PennController","39","_Trial_","Start","1746121059476","g_p4","a","NULL","24"
"106",27,"trials-gumball","Scale","slider-3","Default","0","1746121059477","g_p4","a","slider","24"
"107",27,"trials-gumball","Scale","slider-1","Default","0","1746121059477","g_p4","a","slider","24"
"108",27,"trials-gumball","Scale","slider-2","Choice","100","1746121062673","g_p4","a","241","24"
"109",27,"trials-gumball","PennController","39","_Trial_","End","1746121063944","g_p4","a","NULL","24"
"110",28,"trials-gumball","PennController","40","_Trial_","Start","1746121063945","g_p4","a","NULL","24"
"111",28,"trials-gumball","Selector","selection","Selection","correct","1746121065079","g_p4","a","correct;incorrect","24"
"112",28,"trials-gumball","PennController","40","_Trial_","End","1746121065654","g_p4","a","NULL","24"
"113",29,"trials-gumball","PennController","41","_Trial_","Start","1746121065655","g_p6","a","NULL","24"
"114",29,"trials-gumball","Scale","slider-3","Default","0","1746121065656","g_p6","a","slider","24"
"115",29,"trials-gumball","Scale","slider-1","Choice","100","1746121067943","g_p6","a","167","24"
"116",29,"trials-gumball","Scale","slider-2","Choice","100","1746121069046","g_p6","a","183","24"
"117",29,"trials-gumball","PennController","41","_Trial_","End","1746121069974","g_p6","a","NULL","24"
"118",30,"trials-gumball","PennController","42","_Trial_","Start","1746121069975","g_p5","a","NULL","24"
"119",30,"trials-gumball","Scale","slider-3","Default","0","1746121069976","g_p5","a","slider","24"
"120",30,"trials-gumball","Scale","slider-1","Default","0","1746121069976","g_p5","a","slider","24"
"121",30,"trials-gumball","Scale","slider-2","Choice","100","1746121071853","g_p5","a","224","24"
"122",30,"trials-gumball","PennController","42","_Trial_","End","1746121072675","g_p5","a","NULL","24"
"123",31,"trials-gumball","PennController","43","_Trial_","Start","1746121072676","g_p5","a","NULL","24"
"124",31,"trials-gumball","Selector","selection","Selection","correct","1746121073659","g_p5","a","incorrect;correct","24"
"125",31,"trials-gumball","PennController","43","_Trial_","End","1746121074017","g_p5","a","NULL","24"
"126",32,"trials-gumball","PennController","44","_Trial_","Start","1746121074018","g_p9","a","NULL","24"
"127",32,"trials-gumball","Scale","slider-3","Default","0","1746121074019","g_p9","a","slider","24"
"128",32,"trials-gumball","Scale","slider-1","Choice","100","1746121075706","g_p9","a","135","24"
"129",32,"trials-gumball","Scale","slider-2","Choice","100","1746121076775","g_p9","a","201","24"
"130",32,"trials-gumball","PennController","44","_Trial_","End","1746121077660","g_p9","a","NULL","24"
"131",33,"trials-gumball","PennController","45","_Trial_","Start","1746121077661","g_p3","a","NULL","24"
"132",33,"trials-gumball","Scale","slider-3","Default","0","1746121077662","g_p3","a","slider","24"
"133",33,"trials-gumball","Scale","slider-1","Default","0","1746121077662","g_p3","a","slider","24"
"134",33,"trials-gumball","Scale","slider-2","Choice","100","1746121079398","g_p3","a","191","24"
"135",33,"trials-gumball","PennController","45","_Trial_","End","1746121080159","g_p3","a","NULL","24"
"136",34,"trials-gumball","PennController","46","_Trial_","Start","1746121080160","g_p3","a","NULL","24"
"137",34,"trials-gumball","Selector","selection","Selection","correct","1746121081833","g_p3","a","correct;incorrect","24"
"138",34,"trials-gumball","PennController","46","_Trial_","End","1746121082639","g_p3","a","NULL","24"
"139",35,"trials-gumball","PennController","47","_Trial_","Start","1746121082640","g_p8","a","NULL","24"
"140",35,"trials-gumball","Scale","slider-3","Default","0","1746121082641","g_p8","a","slider","24"
"141",35,"trials-gumball","Scale","slider-1","Choice","100","1746121084597","g_p8","a","152","24"
"142",35,"trials-gumball","Scale","slider-2","Choice","100","1746121085743","g_p8","a","207","24"
"143",35,"trials-gumball","PennController","47","_Trial_","End","1746121086738","g_p8","a","NULL","24"
"144",36,"trials-gumball","PennController","48","_Trial_","Start","1746121086738","g_p2","a","NULL","24"
"145",36,"trials-gumball","Scale","slider-3","Default","0","1746121086740","g_p2","a","slider","24"
"146",36,"trials-gumball","Scale","slider-1","Default","0","1746121086740","g_p2","a","slider","24"
"147",36,"trials-gumball","Scale","slider-2","Choice","100","1746121088393","g_p2","a","351","24"
"148",36,"trials-gumball","PennController","48","_Trial_","End","1746121089202","g_p2","a","NULL","24"
"149",37,"break-1","PennController","9","_Trial_","Start","1746121089203","NULL","","","24"
"150",37,"break-1","PennController","9","_Trial_","End","1746121090685","NULL","","","24"
"151",38,"instruction-unk-election","PennController","10","_Trial_","Start","1746121090686","NULL","","","24"
"152",38,"instruction-unk-election","PennController","10","_Trial_","End","1746121099080","NULL","","","24"
"153",39,"check-election-2","Button","go-back","Click",NA,"Never","NULL","","","24"
"154",39,"check-election-2","PennController","11","_Trial_","Start","1746121099080","NULL","","","24"
"155",39,"check-election-2","Button","proceed","Click","Click","1746121106138","NULL","","","24"
"156",39,"check-election-2","PennController","11","_Trial_","End","1746121106139","NULL","","","24"
"157",40,"instruction-A-2","PennController","12","_Trial_","Start","1746121106139","NULL","","","24"
"158",40,"instruction-A-2","PennController","12","_Trial_","End","1746121113316","NULL","","","24"
"159",41,"check-A-2","Button","go-back","Click",NA,"Never","NULL","","","24"
"160",41,"check-A-2","PennController","13","_Trial_","Start","1746121113317","NULL","","","24"
"161",41,"check-A-2","Button","proceed","Click","Click","1746121138634","NULL","","","24"
"162",41,"check-A-2","PennController","13","_Trial_","End","1746121138635","NULL","","","24"
"163",42,"instruction-slider-2","PennController","14","_Trial_","Start","1746121138636","NULL","","","24"
"164",42,"instruction-slider-2","PennController","14","_Trial_","End","1746121140861","NULL","","","24"
"165",43,"check-slider-2","PennController","15","_Trial_","Start","1746121140862","NULL","","","24"
"166",43,"check-slider-2","PennController","15","_Trial_","End","1746121143783","NULL","","","24"
"167",43,"check-slider-2","Button","proceed","Click","Click","1746121143783","NULL","","","24"
"168",44,"practice-election-start","PennController","16","_Trial_","Start","1746121143784","NULL","","","24"
"169",44,"practice-election-start","PennController","16","_Trial_","End","1746121145259","NULL","","","24"
"170",45,"practice-election","PennController","49","_Trial_","Start","1746121145260","e_x1","a","NULL","24"
"171",45,"practice-election","Scale","slider-3","Default","0","1746121145261","e_x1","a","slider","24"
"172",45,"practice-election","Scale","slider-1","Default","0","1746121145261","e_x1","a","slider","24"
"173",45,"practice-election","Scale","slider-2","Choice","100","1746121150101","e_x1","a","271","24"
"174",45,"practice-election","PennController","49","_Trial_","End","1746121152157","e_x1","a","NULL","24"
"175",46,"practice-election","PennController","50","_Trial_","Start","1746121152158","e_x9","a","NULL","24"
"176",46,"practice-election","Scale","slider-3","Default","0","1746121152159","e_x9","a","slider","24"
"177",46,"practice-election","Scale","slider-1","Choice","100","1746121153594","e_x9","a","172","24"
"178",46,"practice-election","Scale","slider-2","Choice","100","1746121154668","e_x9","a","186","24"
"179",46,"practice-election","PennController","50","_Trial_","End","1746121155342","e_x9","a","NULL","24"
"180",47,"practice-election","PennController","51","_Trial_","Start","1746121155343","e_x9","a","NULL","24"
"181",47,"practice-election","Selector","selection","Selection","correct","1746121156359","e_x9","a","incorrect;correct","24"
"182",47,"practice-election","PennController","51","_Trial_","End","1746121156774","e_x9","a","NULL","24"
"183",48,"practice-election-end","PennController","17","_Trial_","Start","1746121156775","NULL","","","24"
"184",48,"practice-election-end","PennController","17","_Trial_","End","1746121157612","NULL","","","24"
"185",49,"trials-unk-election","PennController","52","_Trial_","Start","1746121157612","e_x4","a","NULL","24"
"186",49,"trials-unk-election","Scale","slider-3","Default","0","1746121157614","e_x4","a","slider","24"
"187",49,"trials-unk-election","Scale","slider-1","Default","0","1746121157614","e_x4","a","slider","24"
"188",49,"trials-unk-election","Scale","slider-2","Choice","100","1746121161124","e_x4","a","187","24"
"189",49,"trials-unk-election","PennController","52","_Trial_","End","1746121161943","e_x4","a","NULL","24"
"190",50,"trials-unk-election","PennController","53","_Trial_","Start","1746121161944","e_x5","a","NULL","24"
"191",50,"trials-unk-election","Scale","slider-1","Default","0","1746121161945","e_x5","a","slider","24"
"192",50,"trials-unk-election","Scale","slider-3","Default","0","1746121161946","e_x5","a","slider","24"
"193",50,"trials-unk-election","Scale","slider-2","Choice","100","1746121163398","e_x5","a","185","24"
"194",50,"trials-unk-election","PennController","53","_Trial_","End","1746121164086","e_x5","a","NULL","24"
"195",51,"trials-unk-election","PennController","54","_Trial_","Start","1746121164088","e_x3","a","NULL","24"
"196",51,"trials-unk-election","Scale","slider-1","Default","0","1746121164089","e_x3","a","slider","24"
"197",51,"trials-unk-election","Scale","slider-3","Default","0","1746121164090","e_x3","a","slider","24"
"198",51,"trials-unk-election","Scale","slider-2","Choice","100","1746121165962","e_x3","a","154","24"
"199",51,"trials-unk-election","PennController","54","_Trial_","End","1746121166682","e_x3","a","NULL","24"
"200",52,"trials-unk-election","PennController","55","_Trial_","Start","1746121166683","e_x1","a","NULL","24"
"201",52,"trials-unk-election","Scale","slider-3","Default","0","1746121166684","e_x1","a","slider","24"
"202",52,"trials-unk-election","Scale","slider-1","Default","0","1746121166684","e_x1","a","slider","24"
"203",52,"trials-unk-election","Scale","slider-2","Choice","100","1746121169402","e_x1","a","205","24"
"204",52,"trials-unk-election","PennController","55","_Trial_","End","1746121170159","e_x1","a","NULL","24"
"205",53,"trials-unk-election","PennController","56","_Trial_","Start","1746121170160","e_x1","a","NULL","24"
"206",53,"trials-unk-election","Selector","selection","Selection","correct","1746121171562","e_x1","a","incorrect;correct","24"
"207",53,"trials-unk-election","PennController","56","_Trial_","End","1746121171937","e_x1","a","NULL","24"
"208",54,"trials-unk-election","PennController","57","_Trial_","Start","1746121171937","e_x9","a","NULL","24"
"209",54,"trials-unk-election","Scale","slider-3","Default","0","1746121171938","e_x9","a","slider","24"
"210",54,"trials-unk-election","Scale","slider-1","Choice","100","1746121173748","e_x9","a","157","24"
"211",54,"trials-unk-election","Scale","slider-2","Choice","100","1746121174895","e_x9","a","223","24"
"212",54,"trials-unk-election","PennController","57","_Trial_","End","1746121175584","e_x9","a","NULL","24"
"213",55,"trials-unk-election","PennController","58","_Trial_","Start","1746121175585","e_x7","a","NULL","24"
"214",55,"trials-unk-election","Scale","slider-3","Default","0","1746121175586","e_x7","a","slider","24"
"215",55,"trials-unk-election","Scale","slider-1","Choice","100","1746121176990","e_x7","a","157","24"
"216",55,"trials-unk-election","Scale","slider-2","Choice","100","1746121177900","e_x7","a","158","24"
"217",55,"trials-unk-election","PennController","58","_Trial_","End","1746121178581","e_x7","a","NULL","24"
"218",56,"trials-unk-election","PennController","59","_Trial_","Start","1746121178582","e_x6","a","NULL","24"
"219",56,"trials-unk-election","Scale","slider-3","Default","0","1746121178583","e_x6","a","slider","24"
"220",56,"trials-unk-election","Scale","slider-2","Choice","100","1746121180291","e_x6","a","153","24"
"221",56,"trials-unk-election","Scale","slider-1","Choice","100","1746121181400","e_x6","a","159","24"
"222",56,"trials-unk-election","PennController","59","_Trial_","End","1746121182088","e_x6","a","NULL","24"
"223",57,"trials-unk-election","PennController","60","_Trial_","Start","1746121182089","e_x2","a","NULL","24"
"224",57,"trials-unk-election","Scale","slider-3","Default","0","1746121182090","e_x2","a","slider","24"
"225",57,"trials-unk-election","Scale","slider-1","Default","0","1746121182090","e_x2","a","slider","24"
"226",57,"trials-unk-election","Scale","slider-2","Choice","100","1746121183762","e_x2","a","255","24"
"227",57,"trials-unk-election","PennController","60","_Trial_","End","1746121184393","e_x2","a","NULL","24"
"228",58,"trials-unk-election","PennController","61","_Trial_","Start","1746121184394","e_x2","a","NULL","24"
"229",58,"trials-unk-election","Selector","selection","Selection","correct","1746121186195","e_x2","a","incorrect;correct","24"
"230",58,"trials-unk-election","PennController","61","_Trial_","End","1746121186622","e_x2","a","NULL","24"
"231",59,"trials-unk-election","PennController","62","_Trial_","Start","1746121186623","e_x8","a","NULL","24"
"232",59,"trials-unk-election","Scale","slider-3","Default","0","1746121186624","e_x8","a","slider","24"
"233",59,"trials-unk-election","Scale","slider-1","Choice","100","1746121188914","e_x8","a","136","24"
"234",59,"trials-unk-election","Scale","slider-2","Choice","100","1746121190057","e_x8","a","292","24"
"235",59,"trials-unk-election","PennController","62","_Trial_","End","1746121190793","e_x8","a","NULL","24"
"236",60,"trials-unk-election","PennController","63","_Trial_","Start","1746121190794","e_x7","a","NULL","24"
"237",60,"trials-unk-election","Scale","slider-3","Default","0","1746121190795","e_x7","a","slider","24"
"238",60,"trials-unk-election","Scale","slider-2","Choice","100","1746121192126","e_x7","a","143","24"
"239",60,"trials-unk-election","Scale","slider-1","Choice","100","1746121193299","e_x7","a","189","24"
"240",60,"trials-unk-election","PennController","63","_Trial_","End","1746121194036","e_x7","a","NULL","24"
"241",61,"trials-unk-election","PennController","64","_Trial_","Start","1746121194037","e_x5","a","NULL","24"
"242",61,"trials-unk-election","Scale","slider-3","Default","0","1746121194038","e_x5","a","slider","24"
"243",61,"trials-unk-election","Scale","slider-1","Default","0","1746121194038","e_x5","a","slider","24"
"244",61,"trials-unk-election","Scale","slider-2","Choice","100","1746121195271","e_x5","a","142","24"
"245",61,"trials-unk-election","PennController","64","_Trial_","End","1746121195921","e_x5","a","NULL","24"
"246",62,"trials-unk-election","PennController","65","_Trial_","Start","1746121195922","e_x5","a","NULL","24"
"247",62,"trials-unk-election","Selector","selection","Selection","correct","1746121197140","e_x5","a","correct;incorrect","24"
"248",62,"trials-unk-election","PennController","65","_Trial_","End","1746121198086","e_x5","a","NULL","24"
"249",63,"trials-unk-election","PennController","66","_Trial_","Start","1746121198087","e_x2","a","NULL","24"
"250",63,"trials-unk-election","Scale","slider-3","Default","0","1746121198088","e_x2","a","slider","24"
"251",63,"trials-unk-election","Scale","slider-1","Default","0","1746121198088","e_x2","a","slider","24"
"252",63,"trials-unk-election","Scale","slider-2","Choice","100","1746121200522","e_x2","a","151","24"
"253",63,"trials-unk-election","PennController","66","_Trial_","End","1746121201761","e_x2","a","NULL","24"
"254",64,"trials-unk-election","PennController","67","_Trial_","Start","1746121201763","e_x2","a","NULL","24"
"255",64,"trials-unk-election","Selector","selection","Selection","correct","1746121202897","e_x2","a","incorrect;correct","24"
"256",64,"trials-unk-election","PennController","67","_Trial_","End","1746121203238","e_x2","a","NULL","24"
"257",65,"trials-unk-election","PennController","68","_Trial_","Start","1746121203239","e_x8","a","NULL","24"
"258",65,"trials-unk-election","Scale","slider-3","Default","0","1746121203240","e_x8","a","slider","24"
"259",65,"trials-unk-election","Scale","slider-2","Choice","100","1746121205525","e_x8","a","265","24"
"260",65,"trials-unk-election","Scale","slider-1","Choice","100","1746121206425","e_x8","a","149","24"
"261",65,"trials-unk-election","PennController","68","_Trial_","End","1746121207115","e_x8","a","NULL","24"
"262",66,"trials-unk-election","PennController","69","_Trial_","Start","1746121207116","e_x8","a","NULL","24"
"263",66,"trials-unk-election","Selector","selection","Selection","correct","1746121207998","e_x8","a","incorrect;correct","24"
"264",66,"trials-unk-election","PennController","69","_Trial_","End","1746121208370","e_x8","a","NULL","24"
"265",67,"trials-unk-election","PennController","70","_Trial_","Start","1746121208370","e_x1","a","NULL","24"
"266",67,"trials-unk-election","Scale","slider-1","Default","0","1746121208371","e_x1","a","slider","24"
"267",67,"trials-unk-election","Scale","slider-3","Default","0","1746121208372","e_x1","a","slider","24"
"268",67,"trials-unk-election","Scale","slider-2","Choice","100","1746121210008","e_x1","a","136","24"
"269",67,"trials-unk-election","PennController","70","_Trial_","End","1746121210797","e_x1","a","NULL","24"
"270",68,"trials-unk-election","PennController","71","_Trial_","Start","1746121210797","e_x3","a","NULL","24"
"271",68,"trials-unk-election","Scale","slider-1","Default","0","1746121210798","e_x3","a","slider","24"
"272",68,"trials-unk-election","Scale","slider-3","Default","0","1746121210799","e_x3","a","slider","24"
"273",68,"trials-unk-election","Scale","slider-2","Choice","100","1746121212599","e_x3","a","132","24"
"274",68,"trials-unk-election","PennController","71","_Trial_","End","1746121213754","e_x3","a","NULL","24"
"275",69,"trials-unk-election","PennController","72","_Trial_","Start","1746121213754","e_x6","a","NULL","24"
"276",69,"trials-unk-election","Scale","slider-3","Default","0","1746121213755","e_x6","a","slider","24"
"277",69,"trials-unk-election","Scale","slider-2","Choice","100","1746121215216","e_x6","a","153","24"
"278",69,"trials-unk-election","Scale","slider-1","Choice","100","1746121216302","e_x6","a","185","24"
"279",69,"trials-unk-election","PennController","72","_Trial_","End","1746121217086","e_x6","a","NULL","24"
"280",70,"trials-unk-election","PennController","73","_Trial_","Start","1746121217087","e_x6","a","NULL","24"
"281",70,"trials-unk-election","Selector","selection","Selection","correct","1746121218137","e_x6","a","incorrect;correct","24"
"282",70,"trials-unk-election","PennController","73","_Trial_","End","1746121218493","e_x6","a","NULL","24"
"283",71,"trials-unk-election","PennController","74","_Trial_","Start","1746121218494","e_x4","a","NULL","24"
"284",71,"trials-unk-election","Scale","slider-1","Default","0","1746121218495","e_x4","a","slider","24"
"285",71,"trials-unk-election","Scale","slider-3","Default","0","1746121218496","e_x4","a","slider","24"
"286",71,"trials-unk-election","Scale","slider-2","Choice","100","1746121221417","e_x4","a","153","24"
"287",71,"trials-unk-election","PennController","74","_Trial_","End","1746121222154","e_x4","a","NULL","24"
"288",72,"trials-unk-election","PennController","75","_Trial_","Start","1746121222155","e_x9","a","NULL","24"
"289",72,"trials-unk-election","Scale","slider-3","Default","0","1746121222157","e_x9","a","slider","24"
"290",72,"trials-unk-election","Scale","slider-1","Choice","100","1746121223598","e_x9","a","139","24"
"291",72,"trials-unk-election","Scale","slider-2","Choice","100","1746121224800","e_x9","a","186","24"
"292",72,"trials-unk-election","PennController","75","_Trial_","End","1746121226722","e_x9","a","NULL","24"
"293",73,"break-2","PennController","18","_Trial_","Start","1746121226722","NULL","","","24"
"294",73,"break-2","PennController","18","_Trial_","End","1746121227908","NULL","","","24"
"295",74,"interpretation-A-instruction","PennController","76","_Trial_","Start","1746121227908","NULL","","","24"
"296",74,"interpretation-A-instruction","PennController","76","_Trial_","End","1746121232028","NULL","","","24"
"297",75,"interpretation-A-trials","PennController","77","_Trial_","Start","1746121232028","g_p2","a","NULL","24"
"298",75,"interpretation-A-trials","Scale","interpretation","Choice","20%","1746121237754","g_p2","a","NULL","24"
