group,id,condition,question,content
b,g_p4,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 40% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 60% <span style='color: #FFA500'>orange</span> gumballs
b,g_p8,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 80% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 20% <span style='color: #FFA500'>orange</span> gumballs
b,g_p3,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 30% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 70% <span style='color: #FFA500'>orange</span> gumballs
b,g_p1,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 10% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 90% <span style='color: #FFA500'>orange</span> gumballs
b,g_p5,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 50% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 50% <span style='color: #FFA500'>orange</span> gumballs
b,g_p7,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 70% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 30% <span style='color: #FFA500'>orange</span> gumballs
c,g_o2,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 80% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 20% <span style='color: #FFA500'>orange</span> gumballs
c,g_o6,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 40% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 60% <span style='color: #FFA500'>orange</span> gumballs
c,g_o9,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 10% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 90% <span style='color: #FFA500'>orange</span> gumballs
c,g_o4,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 60% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 40% <span style='color: #FFA500'>orange</span> gumballs
c,g_o8,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 20% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 80% <span style='color: #FFA500'>orange</span> gumballs
c,g_o3,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 70% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 30% <span style='color: #FFA500'>orange</span> gumballs
c,g_o1,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 90% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 10% <span style='color: #FFA500'>orange</span> gumballs
c,g_o5,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 50% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 50% <span style='color: #FFA500'>orange</span> gumballs
c,g_o7,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 30% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 70% <span style='color: #FFA500'>orange</span> gumballs
d,g_o2,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 80% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 20% <span style='color: #FFA500'>orange</span> gumballs
d,g_o6,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 40% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 60% <span style='color: #FFA500'>orange</span> gumballs
d,g_o9,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 10% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 90% <span style='color: #FFA500'>orange</span> gumballs
d,g_o4,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 60% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 40% <span style='color: #FFA500'>orange</span> gumballs
d,g_o8,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 20% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 80% <span style='color: #FFA500'>orange</span> gumballs
d,g_o3,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 70% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 30% <span style='color: #FFA500'>orange</span> gumballs
d,g_o1,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 90% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 10% <span style='color: #FFA500'>orange</span> gumballs
d,g_o5,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 50% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 50% <span style='color: #FFA500'>orange</span> gumballs
d,g_o7,gumball,"What <b>do you think</b> is the probability of getting an <span style='color: #FFA500'>orange</span> gumball? If you are uncertain about what the probability of getting an <span style='color: #FFA500'>orange</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 30% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 70% <span style='color: #FFA500'>orange</span> gumballs
e,e_x4,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 40% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 60% chance of <span style='color: #FFA500'>Party Y</span> winning
e,e_x8,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 80% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 20% chance of <span style='color: #FFA500'>Party Y</span> winning
e,e_x1,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning
e,e_x7,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 70% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 30% chance of <span style='color: #FFA500'>Party Y</span> winning
e,e_x3,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 30% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 70% chance of <span style='color: #FFA500'>Party Y</span> winning
e,e_x2,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 20% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 80% chance of <span style='color: #FFA500'>Party Y</span> winning
e,e_x6,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 60% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 40% chance of <span style='color: #FFA500'>Party Y</span> winning
e,e_x9,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning
e,e_x5,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 50% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 50% chance of <span style='color: #FFA500'>Party Y</span> winning
f,e_x4,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 40% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 60% chance of <span style='color: #FFA500'>Party Y</span> winning
f,e_x8,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 80% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 20% chance of <span style='color: #FFA500'>Party Y</span> winning
f,e_x1,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning
f,e_x7,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 70% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 30% chance of <span style='color: #FFA500'>Party Y</span> winning
f,e_x3,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 30% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 70% chance of <span style='color: #FFA500'>Party Y</span> winning
f,e_x2,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 20% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 80% chance of <span style='color: #FFA500'>Party Y</span> winning
f,e_x6,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 60% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 40% chance of <span style='color: #FFA500'>Party Y</span> winning
f,e_x9,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning
f,e_x5,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 50% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 50% chance of <span style='color: #FFA500'>Party Y</span> winning
g,e_y4,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 60% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 40% chance of <span style='color: #FFA500'>Party Y</span> winning
g,e_y8,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 20% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 80% chance of <span style='color: #FFA500'>Party Y</span> winning
g,e_y1,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning
g,e_y7,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 30% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 70% chance of <span style='color: #FFA500'>Party Y</span> winning
g,e_y3,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 70% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 30% chance of <span style='color: #FFA500'>Party Y</span> winning
g,e_y2,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 80% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 20% chance of <span style='color: #FFA500'>Party Y</span> winning
g,e_y6,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 40% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 60% chance of <span style='color: #FFA500'>Party Y</span> winning
g,e_y9,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning
g,e_y5,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 50% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 50% chance of <span style='color: #FFA500'>Party Y</span> winning
h,e_y4,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 60% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 40% chance of <span style='color: #FFA500'>Party Y</span> winning
h,e_y8,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 20% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 80% chance of <span style='color: #FFA500'>Party Y</span> winning
h,e_y1,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning
h,e_y7,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 30% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 70% chance of <span style='color: #FFA500'>Party Y</span> winning
h,e_y3,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 70% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 30% chance of <span style='color: #FFA500'>Party Y</span> winning
h,e_y2,unk_election,"What do you think is the probability of <span style='color: #FFA500'>Party Y</span>  winning the election? If you are uncertain about what the probability of <span style='color: #FFA500'>Party Y</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 80% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 20% chance of <span style='color: #FFA500'>Party Y</span> winning
