"","Order.number.of.item","Label","PennElementType","PennElementName","Parameter","Value","EventTime","trial_id","group","Comments","random_id"
"25",9,"practice","Scale","slider-2","Choice","100","1732467646192","g_p9","a","10119","88"
"26",9,"practice","Scale","slider-3","Default","0","1732467627702","g_p9","a","slider","88"
"27",9,"practice","PennController","18","_Trial_","End","1732467648116","g_p9","a","NULL","88"
"28",10,"practice","PennController","19","_Trial_","Start","1732467648117","g_p1","a","NULL","88"
"29",10,"practice","Image","image","Print",NA,"1732467648117","g_p1","a","NULL","88"
"30",10,"practice","Scale","slider-1","Default","0","1732467648117","g_p1","a","slider","88"
"31",10,"practice","Scale","slider-2","Choice","21","1732467662192","g_p1","a","2853","88"
"32",10,"practice","Scale","slider-3","Choice","20","1732467664768","g_p1","a","1946","88"
"33",10,"practice","PennController","19","_Trial_","End","1732467666567","g_p1","a","NULL","88"
"34",11,"practice","PennController","20","_Trial_","Start","1732467666568","g_o9","a","NULL","88"
"35",11,"practice","Image","image","Print",NA,"1732467666568","g_o9","a","NULL","88"
"36",11,"practice","Scale","slider-1","Choice","73","1732467670996","g_o9","a","1341","88"
"37",11,"practice","Scale","slider-2","Choice","62","1732467675853","g_o9","a","2023","88"
"38",11,"practice","Scale","slider-3","Default","0","1732467666568","g_o9","a","slider","88"
"39",11,"practice","PennController","20","_Trial_","End","1732467678663","g_o9","a","NULL","88"
"40",12,"practice","PennController","21","_Trial_","Start","1732467678664","g_o9","a","NULL","88"
"41",12,"practice","Selector","selection","Selection","correct","1732467683461","g_o9","a","incorrect;correct","88"
"42",12,"practice","PennController","21","_Trial_","End","1732467686651","g_o9","a","NULL","88"
"43",13,"practice","PennController","22","_Trial_","Start","1732467686651","g_o1","a","NULL","88"
"44",13,"practice","Image","image","Print",NA,"1732467686651","g_o1","a","NULL","88"
"45",13,"practice","Scale","slider-1","Default","0","1732467686652","g_o1","a","slider","88"
"46",13,"practice","Scale","slider-2","Choice","48","1732467697323","g_o1","a","2458","88"
"47",13,"practice","Scale","slider-3","Choice","23","1732467698224","g_o1","a","101","88"
"48",13,"practice","PennController","22","_Trial_","End","1732467699750","g_o1","a","NULL","88"
"49",14,"practice-end","PennController","8","_Trial_","Start","1732467699750","NULL","","","88"
"50",14,"practice-end","PennController","8","_Trial_","End","1732467703264","NULL","","","88"
"51",15,"trials-gumball","PennController","23","_Trial_","Start","1732467703265","g_p3","a","NULL","88"
"52",15,"trials-gumball","Image","image","Print",NA,"1732467703265","g_p3","a","NULL","88"
"53",15,"trials-gumball","Scale","slider-1","Default","0","1732467703266","g_p3","a","slider","88"
"54",15,"trials-gumball","Scale","slider-2","Choice","100","1732467726633","g_p3","a","463","88"
"55",15,"trials-gumball","Scale","slider-3","Default","0","1732467703266","g_p3","a","slider","88"
"56",15,"trials-gumball","PennController","23","_Trial_","End","1732467727981","g_p3","a","NULL","88"
"57",16,"trials-gumball","PennController","24","_Trial_","Start","1732467727982","g_p5","a","NULL","88"
"58",16,"trials-gumball","Image","image","Print",NA,"1732467727982","g_p5","a","NULL","88"
"59",16,"trials-gumball","Scale","slider-1","Default","0","1732467727982","g_p5","a","slider","88"
"60",16,"trials-gumball","Scale","slider-2","Choice","100","1732467737459","g_p5","a","753","88"
"61",16,"trials-gumball","Scale","slider-3","Default","0","1732467727982","g_p5","a","slider","88"
"62",16,"trials-gumball","PennController","24","_Trial_","End","1732467738653","g_p5","a","NULL","88"
"63",17,"trials-gumball","PennController","25","_Trial_","Start","1732467738653","g_p5","a","NULL","88"
"64",17,"trials-gumball","Selector","selection","Selection","correct","1732467744415","g_p5","a","correct;incorrect","88"
"65",17,"trials-gumball","PennController","25","_Trial_","End","1732467745011","g_p5","a","NULL","88"
"66",18,"trials-gumball","PennController","26","_Trial_","Start","1732467745011","g_p8","a","NULL","88"
"67",18,"trials-gumball","Image","image","Print",NA,"1732467745012","g_p8","a","NULL","88"
"68",18,"trials-gumball","Scale","slider-1","Choice","100","1732467750539","g_p8","a","846","88"
"69",18,"trials-gumball","Scale","slider-2","Choice","54","1732467754986","g_p8","a","123","88"
"70",18,"trials-gumball","Scale","slider-3","Default","0","1732467745012","g_p8","a","slider","88"
"71",18,"trials-gumball","PennController","26","_Trial_","End","1732467761026","g_p8","a","NULL","88"
"72",19,"trials-gumball","PennController","27","_Trial_","Start","1732467761027","g_o1","a","NULL","88"
"73",19,"trials-gumball","Image","image","Print",NA,"1732467761027","g_o1","a","NULL","88"
"74",19,"trials-gumball","Scale","slider-1","Default","0","1732467761027","g_o1","a","slider","88"
"75",19,"trials-gumball","Scale","slider-2","Choice","52","1732467766544","g_o1","a","814","88"
"76",19,"trials-gumball","Scale","slider-3","Choice","31","1732467768367","g_o1","a","520","88"
"77",19,"trials-gumball","PennController","27","_Trial_","End","1732467769303","g_o1","a","NULL","88"
"78",20,"trials-gumball","PennController","28","_Trial_","Start","1732467769303","g_o1","a","NULL","88"
"79",20,"trials-gumball","Selector","selection","Selection","correct","1732467770988","g_o1","a","correct;incorrect","88"
"80",20,"trials-gumball","PennController","28","_Trial_","End","1732467771972","g_o1","a","NULL","88"
"81",21,"trials-gumball","PennController","29","_Trial_","Start","1732467771972","g_o3","a","NULL","88"
"82",21,"trials-gumball","Image","image","Print",NA,"1732467771972","g_o3","a","NULL","88"
"83",21,"trials-gumball","Scale","slider-1","Default","0","1732467771972","g_o3","a","slider","88"
"84",21,"trials-gumball","Scale","slider-2","Choice","100","1732467779531","g_o3","a","1753","88"
"85",21,"trials-gumball","Scale","slider-3","Default","0","1732467771973","g_o3","a","slider","88"
"86",21,"trials-gumball","PennController","29","_Trial_","End","1732467787968","g_o3","a","NULL","88"
"87",22,"trials-gumball","PennController","30","_Trial_","Start","1732467787969","g_o3","a","NULL","88"
"88",22,"trials-gumball","Selector","selection","Selection","correct","1732467789554","g_o3","a","correct;incorrect","88"
"89",22,"trials-gumball","PennController","30","_Trial_","End","1732467791229","g_o3","a","NULL","88"
"90",23,"trials-gumball","PennController","31","_Trial_","Start","1732467791229","g_o5","a","NULL","88"
"91",23,"trials-gumball","Image","image","Print",NA,"1732467791229","g_o5","a","NULL","88"
"92",23,"trials-gumball","Scale","slider-1","Choice","27","1732467862371","g_o5","a","129","88"
"93",23,"trials-gumball","Scale","slider-2","Choice","100","1732467861685","g_o5","a","347","88"
"94",23,"trials-gumball","Scale","slider-3","Default","0","1732467791230","g_o5","a","slider","88"
"95",23,"trials-gumball","PennController","31","_Trial_","End","1732467865021","g_o5","a","NULL","88"
"96",24,"trials-gumball","PennController","32","_Trial_","Start","1732467865022","g_p9","a","NULL","88"
"97",24,"trials-gumball","Image","image","Print",NA,"1732467865023","g_p9","a","NULL","88"
"98",24,"trials-gumball","Scale","slider-1","Choice","100","1732467869012","g_p9","a","473","88"
"99",24,"trials-gumball","Scale","slider-2","Choice","34","1732467870369","g_p9","a","110","88"
"100",24,"trials-gumball","Scale","slider-3","Default","0","1732467865023","g_p9","a","slider","88"
"101",24,"trials-gumball","PennController","32","_Trial_","End","1732467871722","g_p9","a","NULL","88"
"102",25,"trials-gumball","PennController","33","_Trial_","Start","1732467871722","g_p9","a","NULL","88"
"103",25,"trials-gumball","Selector","selection","Selection","correct","1732467873669","g_p9","a","correct;incorrect","88"
"104",25,"trials-gumball","PennController","33","_Trial_","End","1732467874411","g_p9","a","NULL","88"
"105",26,"trials-gumball","PennController","34","_Trial_","Start","1732467874411","g_o8","a","NULL","88"
"106",26,"trials-gumball","Image","image","Print",NA,"1732467874411","g_o8","a","NULL","88"
"107",26,"trials-gumball","Scale","slider-1","Choice","100","1732467883894","g_o8","a","3276","88"
"108",26,"trials-gumball","Scale","slider-2","Choice","61","1732467885410","g_o8","a","149","88"
"109",26,"trials-gumball","Scale","slider-3","Default","0","1732467874412","g_o8","a","slider","88"
"110",26,"trials-gumball","PennController","34","_Trial_","End","1732467889195","g_o8","a","NULL","88"
"111",27,"trials-gumball","PennController","35","_Trial_","Start","1732467889196","g_o7","a","NULL","88"
"112",27,"trials-gumball","Image","image","Print",NA,"1732467889196","g_o7","a","NULL","88"
"113",27,"trials-gumball","Scale","slider-1","Choice","48","1732467897980","g_o7","a","104","88"
"114",27,"trials-gumball","Scale","slider-2","Choice","36","1732467898751","g_o7","a","105","88"
"115",27,"trials-gumball","Scale","slider-3","Default","0","1732467889197","g_o7","a","slider","88"
"116",27,"trials-gumball","PennController","35","_Trial_","End","1732467900391","g_o7","a","NULL","88"
"117",28,"trials-gumball","PennController","36","_Trial_","Start","1732467900392","g_p2","a","NULL","88"
"118",28,"trials-gumball","Image","image","Print",NA,"1732467900392","g_p2","a","NULL","88"
"119",28,"trials-gumball","Scale","slider-1","Default","0","1732467900392","g_p2","a","slider","88"
"120",28,"trials-gumball","Scale","slider-2","Choice","71","1732467904988","g_p2","a","129","88"
"121",28,"trials-gumball","Scale","slider-3","Default","0","1732467900392","g_p2","a","slider","88"
"122",28,"trials-gumball","PennController","36","_Trial_","End","1732467906445","g_p2","a","NULL","88"
"123",29,"trials-gumball","PennController","37","_Trial_","Start","1732467906446","g_p1","a","NULL","88"
"124",29,"trials-gumball","Image","image","Print",NA,"1732467906446","g_p1","a","NULL","88"
"125",29,"trials-gumball","Scale","slider-1","Default","0","1732467906446","g_p1","a","slider","88"
"126",29,"trials-gumball","Scale","slider-2","Choice","100","1732467913846","g_p1","a","324","88"
"127",29,"trials-gumball","Scale","slider-3","Choice","25","1732467912245","g_p1","a","139","88"
"128",29,"trials-gumball","PennController","37","_Trial_","End","1732467914940","g_p1","a","NULL","88"
"129",30,"trials-gumball","PennController","38","_Trial_","Start","1732467914940","g_p1","a","NULL","88"
"130",30,"trials-gumball","Selector","selection","Selection","correct","1732467916221","g_p1","a","incorrect;correct","88"
"131",30,"trials-gumball","PennController","38","_Trial_","End","1732467916749","g_p1","a","NULL","88"
"132",31,"trials-gumball","PennController","39","_Trial_","Start","1732467916749","g_p6","a","NULL","88"
"133",31,"trials-gumball","Image","image","Print",NA,"1732467916750","g_p6","a","NULL","88"
"134",31,"trials-gumball","Scale","slider-1","Choice","46","1732467935437","g_p6","a","2140","88"
"135",31,"trials-gumball","Scale","slider-2","Choice","100","1732467936954","g_p6","a","448","88"
"136",31,"trials-gumball","Scale","slider-3","Default","0","1732467916750","g_p6","a","slider","88"
"137",31,"trials-gumball","PennController","39","_Trial_","End","1732467938306","g_p6","a","NULL","88"
"138",32,"trials-gumball","PennController","40","_Trial_","Start","1732467938307","g_p7","a","NULL","88"
"139",32,"trials-gumball","Image","image","Print",NA,"1732467938308","g_p7","a","NULL","88"
"140",32,"trials-gumball","Scale","slider-1","Choice","78","1732467941895","g_p7","a","1004","88"
"141",32,"trials-gumball","Scale","slider-2","Choice","55","1732467943078","g_p7","a","234","88"
"142",32,"trials-gumball","Scale","slider-3","Default","0","1732467938308","g_p7","a","slider","88"
"143",32,"trials-gumball","PennController","40","_Trial_","End","1732467943943","g_p7","a","NULL","88"
"144",33,"trials-gumball","PennController","41","_Trial_","Start","1732467943944","g_p7","a","NULL","88"
"145",33,"trials-gumball","Selector","selection","Selection","correct","1732467945763","g_p7","a","correct;incorrect","88"
"146",33,"trials-gumball","PennController","41","_Trial_","End","1732467946519","g_p7","a","NULL","88"
"147",34,"trials-gumball","PennController","42","_Trial_","Start","1732467946519","g_o4","a","NULL","88"
"148",34,"trials-gumball","Image","image","Print",NA,"1732467946519","g_o4","a","NULL","88"
"149",34,"trials-gumball","Scale","slider-1","Default","0","1732467946519","g_o4","a","slider","88"
"150",34,"trials-gumball","Scale","slider-2","Choice","71","1732467992924","g_o4","a","736","88"
"151",34,"trials-gumball","Scale","slider-3","Default","0","1732467946520","g_o4","a","slider","88"
"152",34,"trials-gumball","PennController","42","_Trial_","End","1732467993775","g_o4","a","NULL","88"
"153",35,"trials-gumball","PennController","43","_Trial_","Start","1732467993776","g_o4","a","NULL","88"
"154",35,"trials-gumball","Selector","selection","Selection","correct","1732467995709","g_o4","a","correct;incorrect","88"
"155",35,"trials-gumball","PennController","43","_Trial_","End","1732467996952","g_o4","a","NULL","88"
"156",36,"trials-gumball","PennController","44","_Trial_","Start","1732467996953","g_o2","a","NULL","88"
"157",36,"trials-gumball","Image","image","Print",NA,"1732467996953","g_o2","a","NULL","88"
"158",36,"trials-gumball","Scale","slider-1","Default","0","1732467996953","g_o2","a","slider","88"
"159",36,"trials-gumball","Scale","slider-2","Choice","100","1732468002488","g_o2","a","373","88"
"160",36,"trials-gumball","Scale","slider-3","Choice","52","1732468001360","g_o2","a","138","88"
"161",36,"trials-gumball","PennController","44","_Trial_","End","1732468003563","g_o2","a","NULL","88"
"162",37,"trials-gumball","PennController","45","_Trial_","Start","1732468003563","g_p4","a","NULL","88"
"163",37,"trials-gumball","Image","image","Print",NA,"1732468003564","g_p4","a","NULL","88"
"164",37,"trials-gumball","Scale","slider-1","Default","0","1732468003564","g_p4","a","slider","88"
"165",37,"trials-gumball","Scale","slider-2","Choice","100","1732468011709","g_p4","a","492","88"
"166",37,"trials-gumball","Scale","slider-3","Default","0","1732468003564","g_p4","a","slider","88"
"167",37,"trials-gumball","PennController","45","_Trial_","End","1732468013419","g_p4","a","NULL","88"
"168",38,"trials-gumball","PennController","46","_Trial_","Start","1732468013420","g_o6","a","NULL","88"
"169",38,"trials-gumball","Image","image","Print",NA,"1732468013420","g_o6","a","NULL","88"
"170",38,"trials-gumball","Scale","slider-1","Default","0","1732468013420","g_o6","a","slider","88"
"171",38,"trials-gumball","Scale","slider-2","Choice","100","1732468016152","g_o6","a","521","88"
"172",38,"trials-gumball","Scale","slider-3","Default","0","1732468013420","g_o6","a","slider","88"
"173",38,"trials-gumball","PennController","46","_Trial_","End","1732468017008","g_o6","a","NULL","88"
"174",39,"trials-gumball","PennController","47","_Trial_","Start","1732468017009","g_o9","a","NULL","88"
"175",39,"trials-gumball","Image","image","Print",NA,"1732468017009","g_o9","a","NULL","88"
"176",39,"trials-gumball","Scale","slider-1","Choice","100","1732468020227","g_o9","a","257","88"
"177",39,"trials-gumball","Scale","slider-2","Choice","100","1732468020983","g_o9","a","312","88"
"178",39,"trials-gumball","Scale","slider-3","Default","0","1732468017009","g_o9","a","slider","88"
"179",39,"trials-gumball","PennController","47","_Trial_","End","1732468021789","g_o9","a","NULL","88"
"180",40,"trials-gumball","PennController","48","_Trial_","Start","1732468021790","g_p5","a","NULL","88"
"181",40,"trials-gumball","Image","image","Print",NA,"1732468021790","g_p5","a","NULL","88"
"182",40,"trials-gumball","Scale","slider-1","Default","0","1732468021790","g_p5","a","slider","88"
"183",40,"trials-gumball","Scale","slider-2","Choice","100","1732468033704","g_p5","a","686","88"
"184",40,"trials-gumball","Scale","slider-3","Default","0","1732468021790","g_p5","a","slider","88"
"185",40,"trials-gumball","PennController","48","_Trial_","End","1732468034494","g_p5","a","NULL","88"
"186",41,"trials-gumball","PennController","49","_Trial_","Start","1732468034495","g_o9","a","NULL","88"
"187",41,"trials-gumball","Image","image","Print",NA,"1732468034495","g_o9","a","NULL","88"
"188",41,"trials-gumball","Scale","slider-1","Choice","100","1732468038292","g_o9","a","437","88"
"189",41,"trials-gumball","Scale","slider-2","Default","0","1732468034495","g_o9","a","slider","88"
"190",41,"trials-gumball","Scale","slider-3","Default","0","1732468034495","g_o9","a","slider","88"
"191",41,"trials-gumball","PennController","49","_Trial_","End","1732468040494","g_o9","a","NULL","88"
"192",42,"trials-gumball","PennController","50","_Trial_","Start","1732468040495","g_p6","a","NULL","88"
"193",42,"trials-gumball","Image","image","Print",NA,"1732468040495","g_p6","a","NULL","88"
"194",42,"trials-gumball","Scale","slider-1","Choice","100","1732468046927","g_p6","a","378","88"
"195",42,"trials-gumball","Scale","slider-2","Default","0","1732468040495","g_p6","a","slider","88"
"196",42,"trials-gumball","Scale","slider-3","Default","0","1732468040495","g_p6","a","slider","88"
"197",42,"trials-gumball","PennController","50","_Trial_","End","1732468048079","g_p6","a","NULL","88"
"198",43,"trials-gumball","PennController","51","_Trial_","Start","1732468048080","g_o3","a","NULL","88"
"199",43,"trials-gumball","Image","image","Print",NA,"1732468048081","g_o3","a","NULL","88"
"200",43,"trials-gumball","Scale","slider-1","Choice","0","1732468051747","g_o3","a","944","88"
"201",43,"trials-gumball","Scale","slider-2","Choice","100","1732468052836","g_o3","a","323","88"
"202",43,"trials-gumball","Scale","slider-3","Default","0","1732468048081","g_o3","a","slider","88"
"203",43,"trials-gumball","PennController","51","_Trial_","End","1732468053672","g_o3","a","NULL","88"
"204",44,"trials-gumball","PennController","52","_Trial_","Start","1732468053673","g_o8","a","NULL","88"
"205",44,"trials-gumball","Image","image","Print",NA,"1732468053673","g_o8","a","NULL","88"
"206",44,"trials-gumball","Scale","slider-1","Choice","100","1732468059282","g_o8","a","211","88"
"207",44,"trials-gumball","Scale","slider-2","Default","0","1732468053674","g_o8","a","slider","88"
"208",44,"trials-gumball","Scale","slider-3","Default","0","1732468053674","g_o8","a","slider","88"
"209",44,"trials-gumball","PennController","52","_Trial_","End","1732468059875","g_o8","a","NULL","88"
"210",45,"trials-gumball","PennController","53","_Trial_","Start","1732468059875","g_o8","a","NULL","88"
"211",45,"trials-gumball","Selector","selection","Selection","correct","1732468061628","g_o8","a","incorrect;correct","88"
"212",45,"trials-gumball","PennController","53","_Trial_","End","1732468062116","g_o8","a","NULL","88"
"213",46,"trials-gumball","PennController","54","_Trial_","Start","1732468062116","g_o7","a","NULL","88"
"214",46,"trials-gumball","Image","image","Print",NA,"1732468062117","g_o7","a","NULL","88"
"215",46,"trials-gumball","Scale","slider-1","Default","0","1732468062117","g_o7","a","slider","88"
"216",46,"trials-gumball","Scale","slider-2","Choice","100","1732468119366","g_o7","a","402","88"
"217",46,"trials-gumball","Scale","slider-3","Default","0","1732468062117","g_o7","a","slider","88"
"218",46,"trials-gumball","PennController","54","_Trial_","End","1732468120669","g_o7","a","NULL","88"
"219",47,"trials-gumball","PennController","55","_Trial_","Start","1732468120671","g_o4","a","NULL","88"
"220",47,"trials-gumball","Image","image","Print",NA,"1732468120672","g_o4","a","NULL","88"
"221",47,"trials-gumball","Scale","slider-1","Default","0","1732468120672","g_o4","a","slider","88"
"222",47,"trials-gumball","Scale","slider-2","Choice","100","1732468123919","g_o4","a","417","88"
"223",47,"trials-gumball","Scale","slider-3","Default","0","1732468120672","g_o4","a","slider","88"
"224",47,"trials-gumball","PennController","55","_Trial_","End","1732468128852","g_o4","a","NULL","88"
"225",48,"trials-gumball","PennController","56","_Trial_","Start","1732468128852","g_o4","a","NULL","88"
"226",48,"trials-gumball","Selector","selection","Selection","correct","1732468130882","g_o4","a","correct;incorrect","88"
"227",48,"trials-gumball","PennController","56","_Trial_","End","1732468131500","g_o4","a","NULL","88"
"228",49,"trials-gumball","PennController","57","_Trial_","Start","1732468131500","g_p3","a","NULL","88"
"229",49,"trials-gumball","Image","image","Print",NA,"1732468131501","g_p3","a","NULL","88"
"230",49,"trials-gumball","Scale","slider-1","Default","0","1732468131501","g_p3","a","slider","88"
"231",49,"trials-gumball","Scale","slider-2","Choice","100","1732468134834","g_p3","a","517","88"
"232",49,"trials-gumball","Scale","slider-3","Default","0","1732468131501","g_p3","a","slider","88"
"233",49,"trials-gumball","PennController","57","_Trial_","End","1732468137240","g_p3","a","NULL","88"
"234",50,"trials-gumball","PennController","58","_Trial_","Start","1732468137240","g_o1","a","NULL","88"
"235",50,"trials-gumball","Image","image","Print",NA,"1732468137241","g_o1","a","NULL","88"
"236",50,"trials-gumball","Scale","slider-1","Default","0","1732468137241","g_o1","a","slider","88"
"237",50,"trials-gumball","Scale","slider-2","Choice","100","1732468142030","g_o1","a","486","88"
"238",50,"trials-gumball","Scale","slider-3","Choice","25","1732468142920","g_o1","a","154","88"
"239",50,"trials-gumball","PennController","58","_Trial_","End","1732468144561","g_o1","a","NULL","88"
"240",51,"trials-gumball","PennController","59","_Trial_","Start","1732468144561","g_o2","a","NULL","88"
"241",51,"trials-gumball","Image","image","Print",NA,"1732468144562","g_o2","a","NULL","88"
"242",51,"trials-gumball","Scale","slider-1","Default","0","1732468144562","g_o2","a","slider","88"
"243",51,"trials-gumball","Scale","slider-2","Choice","47","1732468146960","g_o2","a","113","88"
"244",51,"trials-gumball","Scale","slider-3","Choice","20","1732468148292","g_o2","a","134","88"
"245",51,"trials-gumball","PennController","59","_Trial_","End","1732468152140","g_o2","a","NULL","88"
"246",52,"trials-gumball","PennController","60","_Trial_","Start","1732468152140","g_p9","a","NULL","88"
"247",52,"trials-gumball","Image","image","Print",NA,"1732468152140","g_p9","a","NULL","88"
"248",52,"trials-gumball","Scale","slider-1","Choice","100","1732468155768","g_p9","a","461","88"
"249",52,"trials-gumball","Scale","slider-2","Choice","35","1732468158204","g_p9","a","143","88"
"250",52,"trials-gumball","Scale","slider-3","Default","0","1732468152141","g_p9","a","slider","88"
"251",52,"trials-gumball","PennController","60","_Trial_","End","1732468159060","g_p9","a","NULL","88"
"252",53,"trials-gumball","PennController","61","_Trial_","Start","1732468159060","g_p9","a","NULL","88"
"253",53,"trials-gumball","Selector","selection","Selection","correct","1732468160630","g_p9","a","correct;incorrect","88"
"254",53,"trials-gumball","PennController","61","_Trial_","End","1732468161366","g_p9","a","NULL","88"
"255",54,"trials-gumball","PennController","62","_Trial_","Start","1732468161366","g_p2","a","NULL","88"
"256",54,"trials-gumball","Image","image","Print",NA,"1732468161367","g_p2","a","NULL","88"
"257",54,"trials-gumball","Scale","slider-1","Default","0","1732468161367","g_p2","a","slider","88"
"258",54,"trials-gumball","Scale","slider-2","Choice","100","1732468166948","g_p2","a","513","88"
"259",54,"trials-gumball","Scale","slider-3","Default","0","1732468161367","g_p2","a","slider","88"
"260",54,"trials-gumball","PennController","62","_Trial_","End","1732468167828","g_p2","a","NULL","88"
"261",55,"trials-gumball","PennController","63","_Trial_","Start","1732468167828","g_p8","a","NULL","88"
"262",55,"trials-gumball","Image","image","Print",NA,"1732468167829","g_p8","a","NULL","88"
"263",55,"trials-gumball","Scale","slider-1","Choice","100","1732468171181","g_p8","a","437","88"
"264",55,"trials-gumball","Scale","slider-2","Choice","15","1732468172866","g_p8","a","138","88"
"265",55,"trials-gumball","Scale","slider-3","Default","0","1732468167829","g_p8","a","slider","88"
"266",55,"trials-gumball","PennController","63","_Trial_","End","1732468174130","g_p8","a","NULL","88"
"267",56,"trials-gumball","PennController","64","_Trial_","Start","1732468174130","g_p8","a","NULL","88"
"268",56,"trials-gumball","Selector","selection","Selection","correct","1732468176365","g_p8","a","incorrect;correct","88"
"269",56,"trials-gumball","PennController","64","_Trial_","End","1732468176883","g_p8","a","NULL","88"
"270",57,"trials-gumball","PennController","65","_Trial_","Start","1732468176883","g_o5","a","NULL","88"
"271",57,"trials-gumball","Image","image","Print",NA,"1732468176884","g_o5","a","NULL","88"
"272",57,"trials-gumball","Scale","slider-1","Default","0","1732468176884","g_o5","a","slider","88"
"273",57,"trials-gumball","Scale","slider-2","Choice","100","1732468180301","g_o5","a","358","88"
"274",57,"trials-gumball","Scale","slider-3","Default","0","1732468176884","g_o5","a","slider","88"
"275",57,"trials-gumball","PennController","65","_Trial_","End","1732468181267","g_o5","a","NULL","88"
"276",58,"trials-gumball","PennController","66","_Trial_","Start","1732468181267","g_o6","a","NULL","88"
"277",58,"trials-gumball","Image","image","Print",NA,"1732468181267","g_o6","a","NULL","88"
"278",58,"trials-gumball","Scale","slider-1","Default","0","1732468181268","g_o6","a","slider","88"
"279",58,"trials-gumball","Scale","slider-2","Choice","100","1732468182901","g_o6","a","646","88"
"280",58,"trials-gumball","Scale","slider-3","Default","0","1732468181268","g_o6","a","slider","88"
"281",58,"trials-gumball","PennController","66","_Trial_","End","1732468183583","g_o6","a","NULL","88"
"282",59,"trials-gumball","PennController","67","_Trial_","Start","1732468183583","g_p7","a","NULL","88"
"283",59,"trials-gumball","Image","image","Print",NA,"1732468183583","g_p7","a","NULL","88"
"284",59,"trials-gumball","Scale","slider-1","Choice","100","1732468188294","g_p7","a","263","88"
"285",59,"trials-gumball","Scale","slider-2","Choice","38","1732468187489","g_p7","a","353","88"
"286",59,"trials-gumball","Scale","slider-3","Default","0","1732468183584","g_p7","a","slider","88"
"287",59,"trials-gumball","PennController","67","_Trial_","End","1732468189120","g_p7","a","NULL","88"
"288",60,"trials-gumball","PennController","68","_Trial_","Start","1732468189120","g_p7","a","NULL","88"
"289",60,"trials-gumball","Selector","selection","Selection","correct","1732468191694","g_p7","a","correct;incorrect","88"
"290",60,"trials-gumball","PennController","68","_Trial_","End","1732468192763","g_p7","a","NULL","88"
"291",61,"trials-gumball","PennController","69","_Trial_","Start","1732468192763","g_p4","a","NULL","88"
"292",61,"trials-gumball","Image","image","Print",NA,"1732468192763","g_p4","a","NULL","88"
"293",61,"trials-gumball","Scale","slider-1","Default","0","1732468192764","g_p4","a","slider","88"
"294",61,"trials-gumball","Scale","slider-2","Choice","100","1732468195919","g_p4","a","462","88"
"295",61,"trials-gumball","Scale","slider-3","Default","0","1732468192764","g_p4","a","slider","88"
"296",61,"trials-gumball","PennController","69","_Trial_","End","1732468196949","g_p4","a","NULL","88"
"297",62,"trials-gumball","PennController","70","_Trial_","Start","1732468196949","g_p1","a","NULL","88"
"298",62,"trials-gumball","Image","image","Print",NA,"1732468196949","g_p1","a","NULL","88"
"299",62,"trials-gumball","Scale","slider-1","Default","0","1732468196950","g_p1","a","slider","88"
"300",62,"trials-gumball","Scale","slider-2","Choice","63","1732468200402","g_p1","a","465","88"
"301",62,"trials-gumball","Scale","slider-3","Default","0","1732468196950","g_p1","a","slider","88"
"302",62,"trials-gumball","PennController","70","_Trial_","End","1732468201970","g_p1","a","NULL","88"
