"","Order.number.of.item","Label","PennElementType","PennElementName","Parameter","Value","EventTime","trial_id","group","Comments","random_id"
"35",9,"practice-gumball","Scale","slider-3","Default","0","1753796076116","g_p1","a","slider","88"
"36",9,"practice-gumball","PennController","22","_Trial_","End","1753796099180","g_p1","a","NULL","88"
"37",10,"practice-gumball","PennController","23","_Trial_","Start","1753796099181","g_p9","a","NULL","88"
"38",10,"practice-gumball","Scale","slider-1","Choice","92","1753796105875","g_p9","a","166","88"
"39",10,"practice-gumball","Scale","slider-2","Choice","72","1753796108387","g_p9","a","127","88"
"40",10,"practice-gumball","Scale","slider-3","Default","0","1753796099182","g_p9","a","slider","88"
"41",10,"practice-gumball","PennController","23","_Trial_","End","1753796109268","g_p9","a","NULL","88"
"42",11,"practice-gumball","PennController","24","_Trial_","Start","1753796109269","g_p9","a","NULL","88"
"43",11,"practice-gumball","Selector","selection","Selection","correct","1753796112731","g_p9","a","incorrect;correct","88"
"44",11,"practice-gumball","PennController","24","_Trial_","End","1753796113404","g_p9","a","NULL","88"
"45",12,"practice-gumball-end","PennController","8","_Trial_","Start","1753796113405","NULL","","","88"
"46",12,"practice-gumball-end","PennController","8","_Trial_","End","1753796114965","NULL","","","88"
"47",13,"trials-gumball","PennController","25","_Trial_","Start","1753796114965","g_p8","a","NULL","88"
"48",13,"trials-gumball","Scale","slider-1","Choice","90","1753796119491","g_p8","a","110","88"
"49",13,"trials-gumball","Scale","slider-2","Choice","72","1753796120515","g_p8","a","87","88"
"50",13,"trials-gumball","Scale","slider-3","Default","0","1753796114966","g_p8","a","slider","88"
"51",13,"trials-gumball","PennController","25","_Trial_","End","1753796121228","g_p8","a","NULL","88"
"52",14,"trials-gumball","PennController","26","_Trial_","Start","1753796121229","g_p2","a","NULL","88"
"53",14,"trials-gumball","Scale","slider-1","Default","0","1753796121230","g_p2","a","slider","88"
"54",14,"trials-gumball","Scale","slider-2","Choice","28","1753796125428","g_p2","a","113","88"
"55",14,"trials-gumball","Scale","slider-3","Default","0","1753796121230","g_p2","a","slider","88"
"56",14,"trials-gumball","PennController","26","_Trial_","End","1753796126812","g_p2","a","NULL","88"
"57",15,"trials-gumball","PennController","27","_Trial_","Start","1753796126813","g_p6","a","NULL","88"
"58",15,"trials-gumball","Scale","slider-1","Choice","71","1753796129891","g_p6","a","119","88"
"59",15,"trials-gumball","Scale","slider-2","Choice","91","1753796132035","g_p6","a","112","88"
"60",15,"trials-gumball","Scale","slider-3","Default","0","1753796126814","g_p6","a","slider","88"
"61",15,"trials-gumball","PennController","27","_Trial_","End","1753796133356","g_p6","a","NULL","88"
"62",16,"trials-gumball","PennController","28","_Trial_","Start","1753796133357","g_p5","a","NULL","88"
"63",16,"trials-gumball","Scale","slider-1","Default","0","1753796133357","g_p5","a","slider","88"
"64",16,"trials-gumball","Scale","slider-2","Choice","52","1753796142579","g_p5","a","94","88"
"65",16,"trials-gumball","Scale","slider-3","Default","0","1753796133358","g_p5","a","slider","88"
"66",16,"trials-gumball","PennController","28","_Trial_","End","1753796143108","g_p5","a","NULL","88"
"67",17,"trials-gumball","PennController","29","_Trial_","Start","1753796143109","g_p7","a","NULL","88"
"68",17,"trials-gumball","Scale","slider-1","Choice","79","1753796145667","g_p7","a","96","88"
"69",17,"trials-gumball","Scale","slider-2","Choice","95","1753796147155","g_p7","a","119","88"
"70",17,"trials-gumball","Scale","slider-3","Default","0","1753796143110","g_p7","a","slider","88"
"71",17,"trials-gumball","PennController","29","_Trial_","End","1753796148196","g_p7","a","NULL","88"
"72",18,"trials-gumball","PennController","30","_Trial_","Start","1753796148197","g_p4","a","NULL","88"
"73",18,"trials-gumball","Scale","slider-1","Default","0","1753796148198","g_p4","a","slider","88"
"74",18,"trials-gumball","Scale","slider-2","Choice","29","1753796153187","g_p4","a","103","88"
"75",18,"trials-gumball","Scale","slider-3","Default","0","1753796148198","g_p4","a","slider","88"
"76",18,"trials-gumball","PennController","30","_Trial_","End","1753796153909","g_p4","a","NULL","88"
"77",19,"trials-gumball","PennController","31","_Trial_","Start","1753796153910","g_p1","a","NULL","88"
"78",19,"trials-gumball","Scale","slider-1","Default","0","1753796153910","g_p1","a","slider","88"
"79",19,"trials-gumball","Scale","slider-2","Choice","18","1753796157323","g_p1","a","119","88"
"80",19,"trials-gumball","Scale","slider-3","Choice","14","1753796159179","g_p1","a","103","88"
"81",19,"trials-gumball","PennController","31","_Trial_","End","1753796159660","g_p1","a","NULL","88"
"82",20,"trials-gumball","PennController","32","_Trial_","Start","1753796159660","g_p1","a","NULL","88"
"83",20,"trials-gumball","Selector","selection","Selection","correct","1753796161244","g_p1","a","incorrect;correct","88"
"84",20,"trials-gumball","PennController","32","_Trial_","End","1753796161725","g_p1","a","NULL","88"
"85",21,"trials-gumball","PennController","33","_Trial_","Start","1753796161725","g_p3","a","NULL","88"
"86",21,"trials-gumball","Scale","slider-1","Default","0","1753796161726","g_p3","a","slider","88"
"87",21,"trials-gumball","Scale","slider-2","Choice","73","1753796167084","g_p3","a","97","88"
"88",21,"trials-gumball","Scale","slider-3","Default","0","1753796161726","g_p3","a","slider","88"
"89",21,"trials-gumball","PennController","33","_Trial_","End","1753796167732","g_p3","a","NULL","88"
"90",22,"trials-gumball","PennController","34","_Trial_","Start","1753796167733","g_p3","a","NULL","88"
"91",22,"trials-gumball","Selector","selection","Selection","correct","1753796169163","g_p3","a","incorrect;correct","88"
"92",22,"trials-gumball","PennController","34","_Trial_","End","1753796169588","g_p3","a","NULL","88"
"93",23,"trials-gumball","PennController","35","_Trial_","Start","1753796169589","g_p9","a","NULL","88"
"94",23,"trials-gumball","Scale","slider-1","Choice","75","1753796173595","g_p9","a","111","88"
"95",23,"trials-gumball","Scale","slider-2","Choice","56","1753796175171","g_p9","a","120","88"
"96",23,"trials-gumball","Scale","slider-3","Default","0","1753796169590","g_p9","a","slider","88"
"97",23,"trials-gumball","PennController","35","_Trial_","End","1753796176484","g_p9","a","NULL","88"
"98",24,"trials-gumball","PennController","36","_Trial_","Start","1753796176484","g_p1","a","NULL","88"
"99",24,"trials-gumball","Scale","slider-1","Default","0","1753796176485","g_p1","a","slider","88"
"100",24,"trials-gumball","Scale","slider-2","Choice","27","1753796180627","g_p1","a","103","88"
"101",24,"trials-gumball","Scale","slider-3","Choice","19","1753796181611","g_p1","a","103","88"
"102",24,"trials-gumball","PennController","36","_Trial_","End","1753796182244","g_p1","a","NULL","88"
"103",25,"trials-gumball","PennController","37","_Trial_","Start","1753796182245","g_p7","a","NULL","88"
"104",25,"trials-gumball","Scale","slider-1","Choice","71","1753796185091","g_p7","a","95","88"
"105",25,"trials-gumball","Scale","slider-2","Choice","58","1753796186299","g_p7","a","111","88"
"106",25,"trials-gumball","Scale","slider-3","Default","0","1753796182246","g_p7","a","slider","88"
"107",25,"trials-gumball","PennController","37","_Trial_","End","1753796187220","g_p7","a","NULL","88"
"108",26,"trials-gumball","PennController","38","_Trial_","Start","1753796187220","g_p7","a","NULL","88"
"109",26,"trials-gumball","Selector","selection","Selection","correct","1753796188404","g_p7","a","incorrect;correct","88"
"110",26,"trials-gumball","PennController","38","_Trial_","End","1753796188837","g_p7","a","NULL","88"
"111",27,"trials-gumball","PennController","39","_Trial_","Start","1753796188837","g_p4","a","NULL","88"
"112",27,"trials-gumball","Scale","slider-1","Default","0","1753796188838","g_p4","a","slider","88"
"113",27,"trials-gumball","Scale","slider-2","Choice","80","1753796193155","g_p4","a","103","88"
"114",27,"trials-gumball","Scale","slider-3","Choice","12","1753796196155","g_p4","a","103","88"
"115",27,"trials-gumball","PennController","39","_Trial_","End","1753796196811","g_p4","a","NULL","88"
"116",28,"trials-gumball","PennController","40","_Trial_","Start","1753796196812","g_p4","a","NULL","88"
"117",28,"trials-gumball","Selector","selection","Selection","correct","1753796198043","g_p4","a","incorrect;correct","88"
"118",28,"trials-gumball","PennController","40","_Trial_","End","1753796198708","g_p4","a","NULL","88"
"119",29,"trials-gumball","PennController","41","_Trial_","Start","1753796198709","g_p6","a","NULL","88"
"120",29,"trials-gumball","Scale","slider-1","Choice","61","1753796201595","g_p6","a","79","88"
"121",29,"trials-gumball","Scale","slider-2","Choice","88","1753796202235","g_p6","a","102","88"
"122",29,"trials-gumball","Scale","slider-3","Choice","14","1753796203820","g_p6","a","88","88"
"123",29,"trials-gumball","PennController","41","_Trial_","End","1753796205516","g_p6","a","NULL","88"
"124",30,"trials-gumball","PennController","42","_Trial_","Start","1753796205517","g_p5","a","NULL","88"
"125",30,"trials-gumball","Scale","slider-1","Default","0","1753796205518","g_p5","a","slider","88"
"126",30,"trials-gumball","Scale","slider-2","Choice","80","1753796209219","g_p5","a","103","88"
"127",30,"trials-gumball","Scale","slider-3","Default","0","1753796205518","g_p5","a","slider","88"
"128",30,"trials-gumball","PennController","42","_Trial_","End","1753796209828","g_p5","a","NULL","88"
"129",31,"trials-gumball","PennController","43","_Trial_","Start","1753796209828","g_p5","a","NULL","88"
"130",31,"trials-gumball","Selector","selection","Selection","correct","1753796211244","g_p5","a","correct;incorrect","88"
"131",31,"trials-gumball","PennController","43","_Trial_","End","1753796211828","g_p5","a","NULL","88"
"132",32,"trials-gumball","PennController","44","_Trial_","Start","1753796211828","g_p9","a","NULL","88"
"133",32,"trials-gumball","Scale","slider-1","Choice","89","1753796214571","g_p9","a","103","88"
"134",32,"trials-gumball","Scale","slider-2","Choice","74","1753796215083","g_p9","a","119","88"
"135",32,"trials-gumball","Scale","slider-3","Default","0","1753796211829","g_p9","a","slider","88"
"136",32,"trials-gumball","PennController","44","_Trial_","End","1753796216476","g_p9","a","NULL","88"
"137",33,"trials-gumball","PennController","45","_Trial_","Start","1753796216476","g_p3","a","NULL","88"
"138",33,"trials-gumball","Scale","slider-1","Default","0","1753796216477","g_p3","a","slider","88"
"139",33,"trials-gumball","Scale","slider-2","Choice","74","1753796218676","g_p3","a","88","88"
"140",33,"trials-gumball","Scale","slider-3","Default","0","1753796216477","g_p3","a","slider","88"
"141",33,"trials-gumball","PennController","45","_Trial_","End","1753796219276","g_p3","a","NULL","88"
"142",34,"trials-gumball","PennController","46","_Trial_","Start","1753796219277","g_p3","a","NULL","88"
"143",34,"trials-gumball","Selector","selection","Selection","correct","1753796220972","g_p3","a","correct;incorrect","88"
"144",34,"trials-gumball","PennController","46","_Trial_","End","1753796221812","g_p3","a","NULL","88"
"145",35,"trials-gumball","PennController","47","_Trial_","Start","1753796221812","g_p8","a","NULL","88"
"146",35,"trials-gumball","Scale","slider-1","Choice","65","1753796223772","g_p8","a","120","88"
"147",35,"trials-gumball","Scale","slider-2","Choice","82","1753796224395","g_p8","a","111","88"
"148",35,"trials-gumball","Scale","slider-3","Default","0","1753796221813","g_p8","a","slider","88"
"149",35,"trials-gumball","PennController","47","_Trial_","End","1753796224972","g_p8","a","NULL","88"
"150",36,"trials-gumball","PennController","48","_Trial_","Start","1753796224973","g_p2","a","NULL","88"
"151",36,"trials-gumball","Scale","slider-1","Default","0","1753796224974","g_p2","a","slider","88"
"152",36,"trials-gumball","Scale","slider-2","Choice","76","1753796227020","g_p2","a","112","88"
"153",36,"trials-gumball","Scale","slider-3","Choice","19","1753796227643","g_p2","a","95","88"
"154",36,"trials-gumball","PennController","48","_Trial_","End","1753796228340","g_p2","a","NULL","88"
"155",37,"break-1","PennController","9","_Trial_","Start","1753796228340","NULL","","","88"
"156",37,"break-1","PennController","9","_Trial_","End","1753796229556","NULL","","","88"
"157",38,"instruction-unk-election","PennController","10","_Trial_","Start","1753796229557","NULL","","","88"
"158",38,"instruction-unk-election","PennController","10","_Trial_","End","1753796345452","NULL","","","88"
"159",39,"check-election-2","PennController","11","_Trial_","Start","1753796345453","NULL","","","88"
"160",39,"check-election-2","Button","go-back","Click",NA,"Never","NULL","","","88"
"161",39,"check-election-2","Button","proceed","Click","Click","1753796349899","NULL","","","88"
"162",39,"check-election-2","PennController","11","_Trial_","End","1753796349900","NULL","","","88"
"163",40,"instruction-A-2","PennController","12","_Trial_","Start","1753796349900","NULL","","","88"
"164",40,"instruction-A-2","PennController","12","_Trial_","End","1753796356876","NULL","","","88"
"165",41,"check-A-2","PennController","13","_Trial_","Start","1753796356877","NULL","","","88"
"166",41,"check-A-2","Button","go-back","Click",NA,"Never","NULL","","","88"
"167",41,"check-A-2","Button","proceed","Click","Click","1753796359676","NULL","","","88"
"168",41,"check-A-2","PennController","13","_Trial_","End","1753796359676","NULL","","","88"
"169",42,"instruction-slider-2","PennController","14","_Trial_","Start","1753796359677","NULL","","","88"
"170",42,"instruction-slider-2","PennController","14","_Trial_","End","1753796362580","NULL","","","88"
"171",43,"check-slider-2","PennController","15","_Trial_","Start","1753796362580","NULL","","","88"
"172",43,"check-slider-2","Button","proceed","Click","Click","1753796365427","NULL","","","88"
"173",43,"check-slider-2","PennController","15","_Trial_","End","1753796365428","NULL","","","88"
"174",44,"practice-election-start","PennController","16","_Trial_","Start","1753796365428","NULL","","","88"
"175",44,"practice-election-start","PennController","16","_Trial_","End","1753796367212","NULL","","","88"
"176",45,"practice-election","PennController","49","_Trial_","Start","1753796367212","e_x1","a","NULL","88"
"177",45,"practice-election","Scale","slider-1","Default","0","1753796367213","e_x1","a","slider","88"
"178",45,"practice-election","Scale","slider-2","Choice","29","1753796371667","e_x1","a","111","88"
"179",45,"practice-election","Scale","slider-3","Choice","81","1753796372915","e_x1","a","95","88"
"180",45,"practice-election","PennController","49","_Trial_","End","1753796373460","e_x1","a","NULL","88"
"181",46,"practice-election","PennController","50","_Trial_","Start","1753796373461","e_x9","a","NULL","88"
"182",46,"practice-election","Scale","slider-1","Choice","86","1753796377563","e_x9","a","95","88"
"183",46,"practice-election","Scale","slider-2","Choice","38","1753796378540","e_x9","a","104","88"
"184",46,"practice-election","Scale","slider-3","Default","0","1753796373462","e_x9","a","slider","88"
"185",46,"practice-election","PennController","50","_Trial_","End","1753796379011","e_x9","a","NULL","88"
"186",47,"practice-election","PennController","51","_Trial_","Start","1753796379012","e_x9","a","NULL","88"
"187",47,"practice-election","Selector","selection","Selection","correct","1753796380364","e_x9","a","incorrect;correct","88"
"188",47,"practice-election","PennController","51","_Trial_","End","1753796380997","e_x9","a","NULL","88"
"189",48,"practice-election-end","PennController","17","_Trial_","Start","1753796380998","NULL","","","88"
"190",48,"practice-election-end","PennController","17","_Trial_","End","1753796382245","NULL","","","88"
"191",49,"trials-unk-election","PennController","52","_Trial_","Start","1753796382245","e_x4","a","NULL","88"
"192",49,"trials-unk-election","Scale","slider-1","Default","0","1753796382246","e_x4","a","slider","88"
"193",49,"trials-unk-election","Scale","slider-2","Choice","40","1753796386331","e_x4","a","94","88"
"194",49,"trials-unk-election","Scale","slider-3","Choice","73","1753796387060","e_x4","a","96","88"
"195",49,"trials-unk-election","PennController","52","_Trial_","End","1753796387612","e_x4","a","NULL","88"
"196",50,"trials-unk-election","PennController","53","_Trial_","Start","1753796387613","e_x5","a","NULL","88"
"197",50,"trials-unk-election","Scale","slider-1","Default","0","1753796387614","e_x5","a","slider","88"
"198",50,"trials-unk-election","Scale","slider-2","Choice","86","1753796390355","e_x5","a","63","88"
"199",50,"trials-unk-election","Scale","slider-3","Default","0","1753796387614","e_x5","a","slider","88"
"200",50,"trials-unk-election","PennController","53","_Trial_","End","1753796391028","e_x5","a","NULL","88"
"201",51,"trials-unk-election","PennController","54","_Trial_","Start","1753796391029","e_x3","a","NULL","88"
"202",51,"trials-unk-election","Scale","slider-1","Default","0","1753796391029","e_x3","a","slider","88"
"203",51,"trials-unk-election","Scale","slider-2","Choice","51","1753796394275","e_x3","a","95","88"
"204",51,"trials-unk-election","Scale","slider-3","Choice","78","1753796393723","e_x3","a","79","88"
"205",51,"trials-unk-election","PennController","54","_Trial_","End","1753796395435","e_x3","a","NULL","88"
"206",52,"trials-unk-election","PennController","55","_Trial_","Start","1753796395435","e_x1","a","NULL","88"
"207",52,"trials-unk-election","Scale","slider-1","Default","0","1753796395436","e_x1","a","slider","88"
"208",52,"trials-unk-election","Scale","slider-2","Choice","13","1753796399683","e_x1","a","95","88"
"209",52,"trials-unk-election","Scale","slider-3","Choice","94","1753796398540","e_x1","a","104","88"
"210",52,"trials-unk-election","PennController","55","_Trial_","End","1753796400364","e_x1","a","NULL","88"
"211",53,"trials-unk-election","PennController","56","_Trial_","Start","1753796400365","e_x1","a","NULL","88"
"212",53,"trials-unk-election","Selector","selection","Selection","correct","1753796401572","e_x1","a","correct;incorrect","88"
"213",53,"trials-unk-election","PennController","56","_Trial_","End","1753796402084","e_x1","a","NULL","88"
"214",54,"trials-unk-election","PennController","57","_Trial_","Start","1753796402085","e_x9","a","NULL","88"
"215",54,"trials-unk-election","Scale","slider-1","Choice","93","1753796404285","e_x9","a","105","88"
"216",54,"trials-unk-election","Scale","slider-2","Choice","31","1753796405099","e_x9","a","95","88"
"217",54,"trials-unk-election","Scale","slider-3","Default","0","1753796402086","e_x9","a","slider","88"
"218",54,"trials-unk-election","PennController","57","_Trial_","End","1753796406004","e_x9","a","NULL","88"
"219",55,"trials-unk-election","PennController","58","_Trial_","Start","1753796406005","e_x7","a","NULL","88"
"220",55,"trials-unk-election","Scale","slider-1","Choice","87","1753796407635","e_x7","a","79","88"
"221",55,"trials-unk-election","Scale","slider-2","Choice","27","1753796408467","e_x7","a","95","88"
"222",55,"trials-unk-election","Scale","slider-3","Default","0","1753796406005","e_x7","a","slider","88"
"223",55,"trials-unk-election","PennController","58","_Trial_","End","1753796409236","e_x7","a","NULL","88"
"224",56,"trials-unk-election","PennController","59","_Trial_","Start","1753796409237","e_x6","a","NULL","88"
"225",56,"trials-unk-election","Scale","slider-1","Choice","69","1753796410595","e_x6","a","87","88"
"226",56,"trials-unk-election","Scale","slider-2","Choice","49","1753796411932","e_x6","a","112","88"
"227",56,"trials-unk-election","Scale","slider-3","Default","0","1753796409237","e_x6","a","slider","88"
"228",56,"trials-unk-election","PennController","59","_Trial_","End","1753796413196","e_x6","a","NULL","88"
"229",57,"trials-unk-election","PennController","60","_Trial_","Start","1753796413196","e_x2","a","NULL","88"
"230",57,"trials-unk-election","Scale","slider-1","Default","0","1753796413197","e_x2","a","slider","88"
"231",57,"trials-unk-election","Scale","slider-2","Choice","49","1753796416515","e_x2","a","88","88"
"232",57,"trials-unk-election","Scale","slider-3","Choice","66","1753796417283","e_x2","a","78","88"
"233",57,"trials-unk-election","PennController","60","_Trial_","End","1753796418044","e_x2","a","NULL","88"
"234",58,"trials-unk-election","PennController","61","_Trial_","Start","1753796418045","e_x2","a","NULL","88"
"235",58,"trials-unk-election","Selector","selection","Selection","correct","1753796419275","e_x2","a","correct;incorrect","88"
"236",58,"trials-unk-election","PennController","61","_Trial_","End","1753796419972","e_x2","a","NULL","88"
"237",59,"trials-unk-election","PennController","62","_Trial_","Start","1753796419972","e_x8","a","NULL","88"
"238",59,"trials-unk-election","Scale","slider-1","Choice","86","1753796421924","e_x8","a","112","88"
"239",59,"trials-unk-election","Scale","slider-2","Choice","46","1753796422467","e_x8","a","88","88"
"240",59,"trials-unk-election","Scale","slider-3","Default","0","1753796419973","e_x8","a","slider","88"
"241",59,"trials-unk-election","PennController","62","_Trial_","End","1753796422980","e_x8","a","NULL","88"
"242",60,"trials-unk-election","PennController","63","_Trial_","Start","1753796422981","e_x7","a","NULL","88"
"243",60,"trials-unk-election","Scale","slider-1","Choice","80","1753796424259","e_x7","a","87","88"
"244",60,"trials-unk-election","Scale","slider-2","Choice","56","1753796424787","e_x7","a","87","88"
"245",60,"trials-unk-election","Scale","slider-3","Default","0","1753796422982","e_x7","a","slider","88"
"246",60,"trials-unk-election","PennController","63","_Trial_","End","1753796425436","e_x7","a","NULL","88"
"247",61,"trials-unk-election","PennController","64","_Trial_","Start","1753796425437","e_x5","a","NULL","88"
"248",61,"trials-unk-election","Scale","slider-1","Default","0","1753796425437","e_x5","a","slider","88"
"249",61,"trials-unk-election","Scale","slider-2","Choice","84","1753796427484","e_x5","a","88","88"
"250",61,"trials-unk-election","Scale","slider-3","Default","0","1753796425438","e_x5","a","slider","88"
"251",61,"trials-unk-election","PennController","64","_Trial_","End","1753796428036","e_x5","a","NULL","88"
"252",62,"trials-unk-election","PennController","65","_Trial_","Start","1753796428037","e_x5","a","NULL","88"
"253",62,"trials-unk-election","Selector","selection","Selection","correct","1753796429572","e_x5","a","correct;incorrect","88"
"254",62,"trials-unk-election","PennController","65","_Trial_","End","1753796430036","e_x5","a","NULL","88"
"255",63,"trials-unk-election","PennController","66","_Trial_","Start","1753796430037","e_x2","a","NULL","88"
"256",63,"trials-unk-election","Scale","slider-1","Default","0","1753796430037","e_x2","a","slider","88"
"257",63,"trials-unk-election","Scale","slider-2","Choice","31","1753796432347","e_x2","a","79","88"
"258",63,"trials-unk-election","Scale","slider-3","Choice","64","1753796432876","e_x2","a","103","88"
"259",63,"trials-unk-election","PennController","66","_Trial_","End","1753796433588","e_x2","a","NULL","88"
"260",64,"trials-unk-election","PennController","67","_Trial_","Start","1753796433588","e_x2","a","NULL","88"
"261",64,"trials-unk-election","Selector","selection","Selection","correct","1753796434627","e_x2","a","incorrect;correct","88"
"262",64,"trials-unk-election","PennController","67","_Trial_","End","1753796435052","e_x2","a","NULL","88"
"263",65,"trials-unk-election","PennController","68","_Trial_","Start","1753796435053","e_x8","a","NULL","88"
"264",65,"trials-unk-election","Scale","slider-1","Choice","81","1753796436715","e_x8","a","87","88"
"265",65,"trials-unk-election","Scale","slider-2","Choice","60","1753796437475","e_x8","a","103","88"
"266",65,"trials-unk-election","Scale","slider-3","Default","0","1753796435054","e_x8","a","slider","88"
"267",65,"trials-unk-election","PennController","68","_Trial_","End","1753796438028","e_x8","a","NULL","88"
"268",66,"trials-unk-election","PennController","69","_Trial_","Start","1753796438029","e_x8","a","NULL","88"
"269",66,"trials-unk-election","Selector","selection","Selection","correct","1753796439107","e_x8","a","correct;incorrect","88"
"270",66,"trials-unk-election","PennController","69","_Trial_","End","1753796439644","e_x8","a","NULL","88"
"271",67,"trials-unk-election","PennController","70","_Trial_","Start","1753796439644","e_x1","a","NULL","88"
"272",67,"trials-unk-election","Scale","slider-1","Default","0","1753796439645","e_x1","a","slider","88"
"273",67,"trials-unk-election","Scale","slider-2","Choice","36","1753796442203","e_x1","a","94","88"
"274",67,"trials-unk-election","Scale","slider-3","Choice","73","1753796442620","e_x1","a","96","88"
"275",67,"trials-unk-election","PennController","70","_Trial_","End","1753796443196","e_x1","a","NULL","88"
"276",68,"trials-unk-election","PennController","71","_Trial_","Start","1753796443197","e_x3","a","NULL","88"
"277",68,"trials-unk-election","Scale","slider-1","Default","0","1753796443197","e_x3","a","slider","88"
"278",68,"trials-unk-election","Scale","slider-2","Choice","29","1753796445267","e_x3","a","79","88"
"279",68,"trials-unk-election","Scale","slider-3","Choice","59","1753796446267","e_x3","a","71","88"
"280",68,"trials-unk-election","PennController","71","_Trial_","End","1753796446860","e_x3","a","NULL","88"
"281",69,"trials-unk-election","PennController","72","_Trial_","Start","1753796446860","e_x6","a","NULL","88"
"282",69,"trials-unk-election","Scale","slider-1","Choice","71","1753796448299","e_x6","a","95","88"
"283",69,"trials-unk-election","Scale","slider-2","Choice","49","1753796448739","e_x6","a","87","88"
"284",69,"trials-unk-election","Scale","slider-3","Default","0","1753796446861","e_x6","a","slider","88"
"285",69,"trials-unk-election","PennController","72","_Trial_","End","1753796449508","e_x6","a","NULL","88"
"286",70,"trials-unk-election","PennController","73","_Trial_","Start","1753796449509","e_x6","a","NULL","88"
"287",70,"trials-unk-election","Selector","selection","Selection","correct","1753796450548","e_x6","a","incorrect;correct","88"
"288",70,"trials-unk-election","PennController","73","_Trial_","End","1753796450948","e_x6","a","NULL","88"
"289",71,"trials-unk-election","PennController","74","_Trial_","Start","1753796450948","e_x4","a","NULL","88"
"290",71,"trials-unk-election","Scale","slider-1","Default","0","1753796450949","e_x4","a","slider","88"
"291",71,"trials-unk-election","Scale","slider-2","Choice","37","1753796453179","e_x4","a","95","88"
"292",71,"trials-unk-election","Scale","slider-3","Choice","56","1753796453715","e_x4","a","103","88"
"293",71,"trials-unk-election","PennController","74","_Trial_","End","1753796454428","e_x4","a","NULL","88"
"294",72,"trials-unk-election","PennController","75","_Trial_","Start","1753796454429","e_x9","a","NULL","88"
"295",72,"trials-unk-election","Scale","slider-1","Choice","82","1753796455972","e_x9","a","95","88"
"296",72,"trials-unk-election","Scale","slider-2","Choice","51","1753796456571","e_x9","a","111","88"
"297",72,"trials-unk-election","Scale","slider-3","Default","0","1753796454430","e_x9","a","slider","88"
"298",72,"trials-unk-election","PennController","75","_Trial_","End","1753796457932","e_x9","a","NULL","88"
"299",73,"break-2","PennController","18","_Trial_","Start","1753796457933","NULL","","","88"
